SDS 2.4	AQ Results	1.0
Filename	CKCO3-170830
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/30/17 6:17:35 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
147	G3	jimmy161209	FAM	Standard	Undetermined			1.0E-6						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
148	G4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
149	G5	jimmy161209	FAM	Unknown	35.776386			1.7365973E-4						Automatic Ct		Automatic			Automatic	0.051114295													
150	G6	jimmy161209	FAM	Unknown	36.771152			9.556776E-5						Automatic Ct		Automatic			Automatic	0.051114295													
151	G7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
152	G8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
153	G9	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
154	G10	jimmy161209	FAM	Unknown	36.744225			9.712551E-5						Automatic Ct		Automatic			Automatic	0.051114295													
155	G11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
156	G12	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
157	G13	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
158	G14	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
159	G15	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
160	G16	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
161	G17	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
162	G18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
163	G19	jimmy161209	FAM	Unknown	34.512806			3.708348E-4						Automatic Ct		Automatic			Automatic	0.051114295													
164	G20	jimmy161209	FAM	Unknown	34.773453			3.1711455E-4						Automatic Ct		Automatic			Automatic	0.051114295													
165	G21	jimmy161209	FAM	Unknown	33.794365			5.708414E-4						Automatic Ct		Automatic			Automatic	0.051114295													
166	G22	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
167	G23	jimmy161209	FAM	Unknown	35.69602			1.8224481E-4						Automatic Ct		Automatic			Automatic	0.051114295													
168	G24	jimmy161209	FAM	Unknown	36.44345			1.16348456E-4						Automatic Ct		Automatic			Automatic	0.051114295													
169	H1	jimmy161209	FAM	NTC	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true							
170	H2	jimmy161209	FAM	NTC	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true							
171	H3	jimmy161209	FAM	NTC	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true							
172	H4	jimmy161209	FAM	Unknown	36.182957			1.3604571E-4						Automatic Ct		Automatic			Automatic	0.051114295													
173	H5	jimmy161209	FAM	Unknown	35.780285			1.7325369E-4						Automatic Ct		Automatic			Automatic	0.051114295													
174	H6	jimmy161209	FAM	Unknown	35.75052			1.7637783E-4						Automatic Ct		Automatic			Automatic	0.051114295													
175	H7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
176	H8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
177	H9	jimmy161209	FAM	Unknown	35.85703			1.6545174E-4						Automatic Ct		Automatic			Automatic	0.051114295													
178	H10	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
